"prior_samples","past_leakage","T1_level_percent","T1_percent","T2_percent","optimal_samples"
9500,0,95,0.020215629,0.6,452.9358035
9500,1,95,0.041122772,0.6,476.940636
9500,2,95,0.058253404,0.6,500.4981559
9500,3,95,0.074019917,0.6,524.4785212
9500,4,95,0.089024009,0.6,549.2615659
9500,5,95,0.103524267,0.6,575.1842096
9500,6,95,0.11765972,0.6,602.5188652
9500,7,95,0.131515263,0.6,631.5492831
9500,8,95,0.145147232,0.6,662.4395753
9500,9,95,0.158595271,0.6,694.2838806
9500,10,95,0.171888527,0.6,730.3780313
9500,11,95,0.185049177,0.6,768.2422386
9500,12,95,0.198094555,0.6,808.525568
9500,13,95,0.211038515,0.6,851.8404387
9500,14,95,0.223892339,0.6,898.6289576
9500,15,95,0.236665359,0.6,949.3252415
9500,16,95,0.249365397,0.6,1004.546194
9500,17,95,0.26199909,0.6,1063.218762
9500,18,95,0.274572124,0.6,1127.997687
9500,19,95,0.287089413,0.6,1198.490859
9500,20,95,0.299555244,0.6,1275.556921
9500,21,95,0.311973379,0.6,1359.94401
9500,22,95,0.324347142,0.6,1453.059473
9500,23,95,0.336679487,0.6,1572.741961
9500,24,95,0.348973054,0.6,1669.251325
9500,25,95,0.361230214,0.6,1796.2685
9500,26,95,0.373453104,0.6,1937.263154
9500,27,95,0.38564366,0.6,2095.806469
9500,28,95,0.397803643,0.6,2273.918457
9500,0,95,0.020215629,0.7,387.3887361
9500,1,95,0.041122772,0.7,404.8659196
9500,2,95,0.058253404,0.7,421.8319931
9500,3,95,0.074019917,0.7,438.9191348
9500,4,95,0.089024009,0.7,456.3048308
9500,5,95,0.103524267,0.7,474.4263638
9500,6,95,0.11765972,0.7,493.3982895
9500,7,95,0.131515263,0.7,513.2733716
9500,8,95,0.145147232,0.7,532.7350156
9500,9,95,0.158595271,0.7,555.5862286
9500,10,95,0.171888527,0.7,579.2831784
9500,11,95,0.185049177,0.7,604.5160499
9500,12,95,0.198094555,0.7,629.7398363
9500,13,95,0.211038515,0.7,657.1744452
9500,14,95,0.223892339,0.7,686.4272977
9500,15,95,0.236665359,0.7,717.5317953
9500,16,95,0.249365397,0.7,750.8597349
9500,17,95,0.26199909,0.7,786.0310888
9500,18,95,0.274572124,0.7,823.7472159
9500,19,95,0.287089413,0.7,864.586072
9500,20,95,0.299555244,0.7,907.6698064
9500,21,95,0.311973379,0.7,954.4400099
9500,22,95,0.324347142,0.7,1004.691499
9500,23,95,0.336679487,0.7,1058.212967
9500,24,95,0.348973054,0.7,1117.482177
9500,25,95,0.361230214,0.7,1180.801365
9500,26,95,0.373453104,0.7,1249.583995
9500,27,95,0.38564366,0.7,1324.471244
9500,28,95,0.397803643,0.7,1406.201142
9500,0,95,0.020215629,0.8,338.0301733
9500,1,95,0.041122772,0.8,351.5301883
9500,2,95,0.058253404,0.8,364.346386
9500,3,95,0.074019917,0.8,377.1602129
9500,4,95,0.089024009,0.8,390.0898653
9500,5,95,0.103524267,0.8,403.4087535
9500,6,95,0.11765972,0.8,417.3014063
9500,7,95,0.131515263,0.8,431.7415254
9500,8,95,0.145147232,0.8,445.8511666
9500,9,95,0.158595271,0.8,462.4460474
9500,10,95,0.171888527,0.8,478.7861356
9500,11,95,0.185049177,0.8,495.7503942
9500,12,95,0.198094555,0.8,514.0811848
9500,13,95,0.211038515,0.8,533.0642128
9500,14,95,0.223892339,0.8,552.8992199
9500,15,95,0.236665359,0.8,573.8766872
9500,16,95,0.249365397,0.8,596.0506334
9500,17,95,0.26199909,0.8,619.6834825
9500,18,95,0.274572124,0.8,643.9722528
9500,19,95,0.287089413,0.8,670.1133767
9500,20,95,0.299555244,0.8,697.7539577
9500,21,95,0.311973379,0.8,726.9585783
9500,22,95,0.324347142,0.8,758.1341399
9500,23,95,0.336679487,0.8,791.4191824
